student_id,question,cluster_id
S001,Q1,0
S002,Q1,0
S001,Q2,0
S002,Q2,0
S001,Q3,0
S002,Q3,0
S001,Q4,0
S002,Q4,0
S001,Q5,0
S002,Q5,0
